X,Y
1.048870495821351199e+02,-3.041246444067158272e+00
1.048871197681624068e+02,-3.041294245167248445e+00
1.048897888028368897e+02,-3.041286583918023645e+00
1.048892345702166295e+02,-3.041286496237212145e+00
1.048867011711095927e+02,-3.041297664051314964e+00
1.048872655120173647e+02,-3.041297370834953551e+00
1.048886070124942620e+02,-3.041332555433582829e+00
1.048873341346334200e+02,-3.041333633029636108e+00
1.048886807090272981e+02,-3.041367184658225309e+00
1.048874015034977702e+02,-3.041375205608499055e+00
1.048878115406665898e+02,-3.041375796886930605e+00
1.048884625393202157e+02,-3.041414068962181805e+00
1.048900410101688152e+02,-3.041413285023923496e+00
1.048874732140461248e+02,-3.041414580588098993e+00
1.048868422325725618e+02,-3.041461340093074561e+00
1.048874032880160314e+02,-3.041540830487743374e+00
1.048890921548117774e+02,-3.041537427792184722e+00
1.048876176609091999e+02,-3.041576307882333019e+00
1.048907923903387882e+02,-3.041606377383209381e+00
1.048901573548213690e+02,-3.041681015675254063e+00
1.048906928997216852e+02,-3.041781410820751042e+00
